,Community
RELIANCE.NS,0
DLF.NS,8
TCS.NS,1
INFY.NS,1
HCLTECH.NS,1
WIPRO.NS,1
TECHM.NS,1
BERGEPAINT.NS,4
NAUKRI.NS,1
MPHASIS.NS,1
HDFCBANK.NS,6
ICICIBANK.NS,6
KOTAKBANK.NS,6
LT.NS,8
AXISBANK.NS,6
ULTRACEMCO.NS,6
BAJFINANCE.NS,0
INDUSINDBK.NS,8
LTTS.NS,1
SBIN.NS,6
BAJAJFINSV.NS,0
GRASIM.NS,6
SHREECEM.NS,6
AMBUJACEM.NS,6
INDIGO.NS,0
TVSMOTOR.NS,3
ASHOKLEY.NS,3
BANKBARODA.NS,2
CANBK.NS,2
FEDERALBNK.NS,2
HINDUNILVR.NS,4
ASIANPAINT.NS,4
NESTLEIND.NS,4
BRITANNIA.NS,4
TATACONSUM.NS,4
DABUR.NS,4
GODREJCP.NS,4
MARICO.NS,4
ITC.NS,7
APOLLOTYRE.NS,2
ACC.NS,6
CUMMINSIND.NS,6
LICHSGFIN.NS,2
PNB.NS,2
UNIONBANK.NS,2
TITAN.NS,0
SIEMENS.NS,2
TATAPOWER.NS,7
GODREJPROP.NS,7
HDFCAMC.NS,8
PFC.NS,2
RECLTD.NS,2
SRF.NS,0
UBL.NS,0
ABB.NS,7
BHARATFORG.NS,2
DALBHARAT.NS,6
EXIDEIND.NS,2
HAL.NS,2
MANAPPURAM.NS,2
NAM-INDIA.NS,7
EICHERMOT.NS,3
M&MFIN.NS,2
PIDILITIND.NS,4
MARUTI.NS,3
M&M.NS,3
BAJAJ-AUTO.NS,3
BOSCHLTD.NS,3
SUNPHARMA.NS,4
ZYDUSLIFE.NS,4
CHOLAFIN.NS,0
VOLTAS.NS,0
DEEPAKNTR.NS,0
TRENT.NS,0
RAMCOCEM.NS,6
COLPAL.NS,4
TATAMOTORS.NS,3
HEROMOTOCO.NS,3
APOLLOHOSP.NS,0
POWERGRID.NS,7
NTPC.NS,7
BHEL.NS,7
ONGC.NS,5
COALINDIA.NS,5
GAIL.NS,5
ADANIPORTS.NS,2
BPCL.NS,7
SAIL.NS,5
TATACHEM.NS,7
CASTROLIND.NS,7
GMRINFRA.NS,7
HINDPETRO.NS,7
MGL.NS,8
NMDC.NS,5
TATACOMM.NS,7
TORNTPOWER.NS,7
SBILIFE.NS,0
HDFCLIFE.NS,0
ICICIPRULI.NS,0
ICICIGI.NS,0
SUNTV.NS,0
ADANIGREEN.NS,6
ADANIENT.NS,6
IDFCFIRSTB.NS,7
JSWSTEEL.NS,5
VEDL.NS,5
HINDALCO.NS,5
JINDALSTEL.NS,5
MRF.NS,3
MFSL.NS,0
CIPLA.NS,4
DRREDDY.NS,4
AUROPHARMA.NS,4
GLENMARK.NS,4
RBLBANK.NS,7
HINDZINC.NS,5
HAVELLS.NS,4
CROMPTON.NS,4
PIIND.NS,4
PEL.NS,7
INDHOTEL.NS,7
BANDHANBNK.NS,7
LUPIN.NS,4
IGL.NS,6
GUJGASLTD.NS,6
MUTHOOTFIN.NS,1
NAVINFLUOR.NS,0
ZEEL.NS,7
SYNGENE.NS,4
