,Community
CIPLA.NS,0
BAJFINANCE.NS,0
APOLLOTYRE.NS,0
GAIL.NS,0
DRREDDY.NS,0
HDFCAMC.NS,0
GODREJPROP.NS,0
SUNTV.NS,0
ADANIENT.NS,0
GRANULES.NS,0
EICHERMOT.NS,0
GMRINFRA.NS,0
CHOLAFIN.NS,0
ACC.NS,0
AUROPHARMA.NS,0
SAIL.NS,0
ADANIPORTS.NS,0
HINDALCO.NS,0
INDHOTEL.NS,0
MANAPPURAM.NS,0
KOTAKBANK.NS,0
CANBK.NS,0
HEROMOTOCO.NS,0
HINDPETRO.NS,0
UBL.NS,0
TATAPOWER.NS,0
DEEPAKNTR.NS,0
AXISBANK.NS,0
RECLTD.NS,0
ICICIBANK.NS,0
TORNTPOWER.NS,0
ADANIGREEN.NS,0
NAVINFLUOR.NS,0
SHREECEM.NS,0
PEL.NS,0
POWERGRID.NS,0
PNB.NS,0
BAJAJ-AUTO.NS,0
ICICIGI.NS,0
M&M.NS,0
ULTRACEMCO.NS,0
CUMMINSIND.NS,0
BOSCHLTD.NS,0
ZYDUSLIFE.NS,0
MRF.NS,0
LUPIN.NS,0
MUTHOOTFIN.NS,0
HAL.NS,0
RAMCOCEM.NS,0
POLYCAB.NS,0
GLENMARK.NS,0
NMDC.NS,0
FEDERALBNK.NS,0
DLF.NS,0
SRF.NS,0
SYNGENE.NS,0
PIIND.NS,0
TATACHEM.NS,0
BAJAJFINSV.NS,0
ICICIPRULI.NS,0
BHEL.NS,0
GRASIM.NS,0
ONGC.NS,0
MGL.NS,0
BANKBARODA.NS,0
VOLTAS.NS,0
IDFCFIRSTB.NS,0
JSWSTEEL.NS,0
MFSL.NS,0
LICHSGFIN.NS,0
TATAMOTORS.NS,0
DIVISLAB.NS,0
PFC.NS,0
DALBHARAT.NS,0
NTPC.NS,0
BPCL.NS,0
M&MFIN.NS,0
VEDL.NS,0
INDUSINDBK.NS,0
JINDALSTEL.NS,0
NAM-INDIA.NS,0
BIOCON.NS,0
CASTROLIND.NS,0
AMBUJACEM.NS,0
LT.NS,0
SBILIFE.NS,0
SBIN.NS,0
BHARATFORG.NS,0
HDFCBANK.NS,0
IGL.NS,0
UNIONBANK.NS,0
HDFCLIFE.NS,0
RBLBANK.NS,0
COALINDIA.NS,0
GUJGASLTD.NS,0
TVSMOTOR.NS,0
HINDZINC.NS,0
RELIANCE.NS,0
SIEMENS.NS,0
ASHOKLEY.NS,0
INDIGO.NS,0
ABB.NS,0
HAVELLS.NS,0
SUNPHARMA.NS,0
EXIDEIND.NS,0
MARUTI.NS,0
NAUKRI.NS,1
TCS.NS,1
LTTS.NS,1
MPHASIS.NS,1
HCLTECH.NS,1
WIPRO.NS,1
TECHM.NS,1
INFY.NS,1
GODREJCP.NS,2
DABUR.NS,2
PIDILITIND.NS,2
TITAN.NS,2
BERGEPAINT.NS,2
MARICO.NS,2
BRITANNIA.NS,2
NESTLEIND.NS,2
HINDUNILVR.NS,2
ASIANPAINT.NS,2
