,Community
Albania,4
Andorra,4
Angola,2
Antigua and Barbuda,5
Argentina,0
Armenia,4
Aruba,5
Australia,0
Austria,0
Azerbaijan,4
Bahamas,5
Bahrain,1
Barbados,5
Belgium,0
Belize,5
Benin,2
Bermuda,5
Bolivia,3
Bosnia and Herzegovina,4
Botswana,2
Brazil,0
Brunei,4
Bulgaria,0
Burkina Faso,2
Burundi,2
Cambodia,1
Canada,0
Cape Verde,4
Central African Republic,2
Chile,0
China,0
Colombia,0
Congo,2
Costa Rica,3
Cote dIvoire,2
Croatia,0
Cyprus,0
Czech Republic,0
Denmark,0
Dominican Republic,3
East Timor,4
Ecuador,3
Egypt,0
El Salvador,3
Estonia,0
Ethiopia(excludes Eritrea),2
European Union,0
Fiji,4
Finland,0
France,0
French Polynesia,4
Georgia,1
Germany,0
Ghana,0
Greece,0
Grenada,5
Guatemala,3
Guyana,5
Hong Kong,0
Hungary,0
Iceland,3
India,0
Indonesia,0
Ireland,0
Israel,0
Italy,0
Jamaica,5
Japan,0
Jordan,1
Kazakhstan,4
Kenya,0
Kuwait,1
Kyrgyz Republic,4
Latvia,0
Lebanon,0
Lesotho,2
Lithuania,0
Luxembourg,0
Macao,4
Madagascar,2
Malawi,2
Malaysia,0
Maldives,4
Malta,0
Mauritania,2
Mauritius,0
Mexico,3
Moldova,4
Mongolia,4
Montenegro,4
Montserrat,5
Morocco,0
Mozambique,2
Myanmar,4
Namibia,2
Nepal,1
Netherlands,0
New Zealand,0
Nicaragua,3
Niger,2
Nigeria,2
North Macedonia,1
Norway,0
Occ.Pal.Terr,4
Oman,0
Other Asia,0
Pakistan,0
Panama,3
Paraguay,3
Peru,0
Philippines,0
Poland,0
Portugal,0
Qatar,1
Romania,0
Rwanda,2
Sao Tome and Principe,2
Senegal,0
Seychelles,2
Singapore,0
Slovak Republic,0
Slovenia,0
South Africa,0
Spain,0
Sri Lanka,0
Suriname,5
Sweden,0
Switzerland,0
Tajikistan,4
Tanzania,2
Thailand,0
Togo,2
Trinidad and Tobago,5
Tunisia,1
Turkey,0
Ukraine,0
United Arab Emirates,0
United Kingdom,0
United States,0
Uruguay,0
Uzbekistan,4
Vietnam,0
Zambia,2
Zimbabwe,2
